"Journal Data Filtered By:  Selected Categories: PSYCHOLOGY, MATHEMATICAL Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
"Behavior Research Methods","BEHAV RES METHODS","1554-351X","1554-3528","PSYCHOLOGY, MATHEMATICAL - SSCI","30,783","5.953","Q1","1.83","39.85"%,
"PSYCHONOMIC BULLETIN & REVIEW","PSYCHON B REV","1069-9384","1531-5320","PSYCHOLOGY, MATHEMATICAL - SSCI","15,865","4.412","Q1","1.13","31.63"%,
"EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT","EDUC PSYCHOL MEAS","0013-1644","1552-3888","PSYCHOLOGY, MATHEMATICAL - SSCI","12,579","3.088","Q1","0.94","9.33"%,
"BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY","BRIT J MATH STAT PSY","0007-1102","2044-8317","PSYCHOLOGY, MATHEMATICAL - SSCI","2,787","2.41","Q2","0.97","10.48"%,
"PSYCHOMETRIKA","PSYCHOMETRIKA","0033-3123","1860-0980","PSYCHOLOGY, MATHEMATICAL - SSCI","15,503","2.29","Q2","0.83","30.43"%,
"JOURNAL OF EDUCATIONAL AND BEHAVIORAL STATISTICS","J EDUC BEHAV STAT","1076-9986","1935-1054","PSYCHOLOGY, MATHEMATICAL - SSCI","2,872","2.116","Q2","0.74","11.49"%,
"Methodology-European Journal of Research Methods for the Behavioral and Social Sciences","METHODOLOGY-EUR","1614-1881","1614-2241","PSYCHOLOGY, MATHEMATICAL - SSCI","1,291","1.975","Q3","0.53","64.29"%,
"APPLIED MEASUREMENT IN EDUCATION","APPL MEAS EDUC","0895-7347","1532-4818","PSYCHOLOGY, MATHEMATICAL - SSCI","1,039","1.528","Q3","0.58","1.33"%,
"APPLIED PSYCHOLOGICAL MEASUREMENT","APPL PSYCH MEAS","0146-6216","1552-3497","PSYCHOLOGY, MATHEMATICAL - SSCI","5,558","1.522","Q3","0.59","8"%,
"JOURNAL OF MATHEMATICAL PSYCHOLOGY","J MATH PSYCHOL","0022-2496","1096-0880","PSYCHOLOGY, MATHEMATICAL - SSCI","3,906","1.387","Q4","0.66","10.53"%,
"JOURNAL OF CLASSIFICATION","J CLASSIF","0176-4268","1432-1343","PSYCHOLOGY, MATHEMATICAL - SSCI","2,475","1.333","Q4","0.51","16.52"%,
"JOURNAL OF EDUCATIONAL MEASUREMENT","J EDUC MEAS","0022-0655","1745-3984","PSYCHOLOGY, MATHEMATICAL - SSCI","7,257","1.188","Q4","0.36","1.28"%,
"Nonlinear Dynamics Psychology and Life Sciences","NONLIN DYNAM PSYCHOL","1090-0578","1573-6652","PSYCHOLOGY, MATHEMATICAL - SSCI","466","1.068","Q4","0.4","0"%,

Copyright (c) 2023 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
