"Journal Data Filtered By:  Selected Categories: PSYCHOLOGY, EXPERIMENTAL Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
"TRENDS IN COGNITIVE SCIENCES","TRENDS COGN SCI","1364-6613","1879-307X","PSYCHOLOGY, EXPERIMENTAL - SSCI","36,688","24.482","Q1","2.22","20.28"%,
"Nature Human Behaviour","NAT HUM BEHAV","2397-3374","2397-3374","PSYCHOLOGY, EXPERIMENTAL - SSCI","11,204","24.252","Q1","4.7","4.34"%,
"COMPUTERS IN HUMAN BEHAVIOR","COMPUT HUM BEHAV","0747-5632","1873-7692","PSYCHOLOGY, EXPERIMENTAL - SSCI","53,712","8.957","Q1","2.59","11.27"%,
"Advances in Experimental Social Psychology","ADV EXP SOC PSYCHOL","0065-2601","1557-8410","PSYCHOLOGY, EXPERIMENTAL - SSCI","8,450","7.263","Q1","2.32","0"%,
"Psychology of Aesthetics Creativity and the Arts","PSYCHOL AESTHET CREA","1931-3896","1931-390X","PSYCHOLOGY, EXPERIMENTAL - SSCI","2,953","6.395","Q1","7.94","0"%,
"Behavior Research Methods","BEHAV RES METHODS","1554-351X","1554-3528","PSYCHOLOGY, EXPERIMENTAL - SSCI","30,783","5.953","Q1","1.83","39.85"%,
"EMOTION","EMOTION","1528-3542","1931-1516","PSYCHOLOGY, EXPERIMENTAL - SSCI","13,577","5.564","Q1","1.48","1.05"%,
"npj Science of Learning","NPJ SCI LEARN","N/A","2056-7936","PSYCHOLOGY, EXPERIMENTAL - SSCI","536","5.513","Q1","1.44","100"%,
"JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL","J EXP PSYCHOL GEN","0096-3445","1939-2222","PSYCHOLOGY, EXPERIMENTAL - SSCI","16,088","5.498","Q1","1.64","3.33"%,
"Wiley Interdisciplinary Reviews-Cognitive Science","WIRES COGN SCI","1939-5078","1939-5086","PSYCHOLOGY, EXPERIMENTAL - SSCI","2,215","5.071","Q1","0.8","16.09"%,
"DEVELOPMENTAL SCIENCE","DEVELOPMENTAL SCI","1363-755X","1467-7687","PSYCHOLOGY, EXPERIMENTAL - SSCI","10,601","4.939","Q1","1.43","20.59"%,
"Bilingualism-Language and Cognition","BILING-LANG COGN","1366-7289","1469-1841","PSYCHOLOGY, EXPERIMENTAL - SSCI","4,829","4.763","Q1","2.02","22.61"%,
"CORTEX","CORTEX","0010-9452","1973-8102","PSYCHOLOGY, EXPERIMENTAL - SSCI","15,191","4.644","Q1","1.08","19.03"%,
"Journal of Applied Research in Memory and Cognition","J APPL RES MEM COGN","2211-3681","2211-369X","PSYCHOLOGY, EXPERIMENTAL - SSCI","1,785","4.6","Q1","1.02","2.34"%,
"Cognitive Systems Research","COGN SYST RES","2214-4366","1389-0417","PSYCHOLOGY, EXPERIMENTAL - SSCI","2,101","4.541","Q1","1","7.69"%,
"JOURNAL OF MEMORY AND LANGUAGE","J MEM LANG","0749-596X","1096-0821","PSYCHOLOGY, EXPERIMENTAL - SSCI","12,491","4.521","Q1","1.76","18.85"%,
"PSYCHONOMIC BULLETIN & REVIEW","PSYCHON B REV","1069-9384","1531-5320","PSYCHOLOGY, EXPERIMENTAL - SSCI","15,865","4.412","Q1","1.13","31.63"%,
"PSYCHOPHYSIOLOGY","PSYCHOPHYSIOLOGY","0048-5772","1469-8986","PSYCHOLOGY, EXPERIMENTAL - SSCI","18,298","4.348","Q1","1.07","21.04"%,
"Current Opinion in Behavioral Sciences","CURR OPIN BEHAV SCI","2352-1546","2352-1554","PSYCHOLOGY, EXPERIMENTAL - SSCI","4,875","4.261","Q1","0.7","19.35"%,
"Social Cognitive and Affective Neuroscience","SOC COGN AFFECT NEUR","1749-5016","1749-5024","PSYCHOLOGY, EXPERIMENTAL - SSCI","9,730","4.235","Q1","1.04","99.45"%,
"MOTIVATION AND EMOTION","MOTIV EMOTION","0146-7239","1573-6644","PSYCHOLOGY, EXPERIMENTAL - SSCI","6,270","4.135","Q1","0.86","21.76"%,
"Cognition","COGNITION","0010-0277","1873-7838","PSYCHOLOGY, EXPERIMENTAL - SSCI","23,585","4.011","Q1","1.19","15.67"%,
"COGNITIVE NEUROPSYCHOLOGY","COGN NEUROPSYCHOL","0264-3294","1464-0627","PSYCHOLOGY, EXPERIMENTAL - SSCI","2,369","3.75","Q2","0.72","7.14"%,
"COGNITIVE PSYCHOLOGY","COGNITIVE PSYCHOL","0010-0285","1095-5623","PSYCHOLOGY, EXPERIMENTAL - SSCI","9,676","3.746","Q2","1.11","16.48"%,
"Cognitive Research-Principles and Implications","COGN RES","2365-7464","2365-7464","PSYCHOLOGY, EXPERIMENTAL - SSCI","1,025","3.657","Q2","0.9","100"%,
"JOURNAL OF COGNITIVE NEUROSCIENCE","J COGNITIVE NEUROSCI","0898-929X","1530-8898","PSYCHOLOGY, EXPERIMENTAL - SSCI","18,253","3.42","Q2","0.89","5.62"%,
"COGNITION AND INSTRUCTION","COGNITION INSTRUCT","0737-0008","1532-690X","PSYCHOLOGY, EXPERIMENTAL - SSCI","2,454","3.356","Q2","0.92","4.76"%,
"Topics in Cognitive Science","TOP COGN SCI","1756-8757","1756-8765","PSYCHOLOGY, EXPERIMENTAL - SSCI","2,372","3.265","Q2","1.06","23.96"%,
"JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION","J EXP PSYCHOL LEARN","0278-7393","1939-1285","PSYCHOLOGY, EXPERIMENTAL - SSCI","14,979","3.14","Q2","1.04","1.96"%,
"BIOLOGICAL PSYCHOLOGY","BIOL PSYCHOL","0301-0511","1873-6246","PSYCHOLOGY, EXPERIMENTAL - SSCI","12,365","3.111","Q2","0.98","12.29"%,
"MULTIVARIATE BEHAVIORAL RESEARCH","MULTIVAR BEHAV RES","0027-3171","1532-7906","PSYCHOLOGY, EXPERIMENTAL - SSCI","10,618","3.085","Q2","1.32","11.95"%,
"JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE","J EXP PSYCHOL HUMAN","0096-1523","1939-1277","PSYCHOLOGY, EXPERIMENTAL - SSCI","13,109","3.077","Q2","0.96","2.49"%,
"Neuropsychologia","NEUROPSYCHOLOGIA","0028-3932","1873-3514","PSYCHOLOGY, EXPERIMENTAL - SSCI","28,867","3.054","Q2","0.95","15.9"%,
"NEW IDEAS IN PSYCHOLOGY","NEW IDEAS PSYCHOL","0732-118X","1873-3522","PSYCHOLOGY, EXPERIMENTAL - SSCI","1,294","2.927","Q2","0.91","8.16"%,
"THINKING & REASONING","THINK REASONING","1354-6783","1464-0708","PSYCHOLOGY, EXPERIMENTAL - SSCI","1,175","2.915","Q2","0.83","6.9"%,
"INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY","INT J PSYCHOPHYSIOL","0167-8760","1872-7697","PSYCHOLOGY, EXPERIMENTAL - SSCI","10,937","2.903","Q2","0.79","10.62"%,
"Language Cognition and Neuroscience","LANG COGN NEUROSCI","2327-3798","2327-3801","PSYCHOLOGY, EXPERIMENTAL - SSCI","1,932","2.842","Q2","0.87","24.38"%,
"BRAIN AND LANGUAGE","BRAIN LANG","0093-934X","1090-2155","PSYCHOLOGY, EXPERIMENTAL - SSCI","7,646","2.781","Q2","1.05","8.76"%,
"CONSCIOUSNESS AND COGNITION","CONSCIOUS COGN","1053-8100","1090-2376","PSYCHOLOGY, EXPERIMENTAL - SSCI","8,055","2.728","Q2","0.69","12.29"%,
"MUSICAE SCIENTIAE","MUSIC SCI","1029-8649","2045-4147","PSYCHOLOGY, EXPERIMENTAL - SSCI","1,302","2.725","Q2","2.37","13.85"%,
"COGNITION & EMOTION","COGNITION EMOTION","0269-9931","1464-0600","PSYCHOLOGY, EXPERIMENTAL - SSCI","12,168","2.72","Q2","0.77","11.32"%,
"JOURNAL OF CHILD LANGUAGE","J CHILD LANG","0305-0009","1469-7602","PSYCHOLOGY, EXPERIMENTAL - SSCI","4,243","2.701","Q2","0.88","27.35"%,
"BRAIN AND COGNITION","BRAIN COGNITION","0278-2626","1090-2147","PSYCHOLOGY, EXPERIMENTAL - SSCI","7,986","2.682","Q2","0.66","10.04"%,
"Language and Cognition","LANG COGN","1866-9808","1866-9859","PSYCHOLOGY, EXPERIMENTAL - SSCI","427","2.66","Q2","1.55","36"%,
"COGNITIVE SCIENCE","COGNITIVE SCI","0364-0213","1551-6709","PSYCHOLOGY, EXPERIMENTAL - SSCI","8,082","2.617","Q2","0.76","25.32"%,
"Journal of Cognition and Development","J COGN DEV","1524-8372","1532-7647","PSYCHOLOGY, EXPERIMENTAL - SSCI","1,964","2.58","Q3","0.66","10.53"%,
"JOURNAL OF EXPERIMENTAL CHILD PSYCHOLOGY","J EXP CHILD PSYCHOL","0022-0965","1096-0457","PSYCHOLOGY, EXPERIMENTAL - SSCI","10,339","2.547","Q3","0.83","10.21"%,
"VISUAL COGNITION","VIS COGN","1350-6285","1464-0716","PSYCHOLOGY, EXPERIMENTAL - SSCI","2,791","2.546","Q3","0.59","16.47"%,
"MEMORY","MEMORY","0965-8211","1464-0686","PSYCHOLOGY, EXPERIMENTAL - SSCI","5,047","2.519","Q3","0.64","10.92"%,
"MEMORY & COGNITION","MEM COGNITION","0090-502X","1532-5946","PSYCHOLOGY, EXPERIMENTAL - SSCI","10,439","2.482","Q3","0.69","23.72"%,
"DISCOURSE PROCESSES","DISCOURSE PROCESS","0163-853X","1532-6950","PSYCHOLOGY, EXPERIMENTAL - SSCI","2,552","2.437","Q3","0.7","14.58"%,
"PSYCHOLOGICAL RESEARCH-PSYCHOLOGISCHE FORSCHUNG","PSYCHOL RES-PSYCH FO","0340-0727","1430-2772","PSYCHOLOGY, EXPERIMENTAL - SSCI","4,794","2.424","Q3","0.8","30.12"%,
"BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY","BRIT J MATH STAT PSY","0007-1102","2044-8317","PSYCHOLOGY, EXPERIMENTAL - SSCI","2,787","2.41","Q3","0.97","10.48"%,
"HUMAN MOVEMENT SCIENCE","HUM MOVEMENT SCI","0167-9457","1872-7646","PSYCHOLOGY, EXPERIMENTAL - SSCI","6,669","2.397","Q3","0.7","6.76"%,
"JOURNAL OF NEUROLINGUISTICS","J NEUROLINGUIST","0911-6044","1873-8052","PSYCHOLOGY, EXPERIMENTAL - SSCI","1,677","2.373","Q3","0.78","11.05"%,
"APPLIED COGNITIVE PSYCHOLOGY","APPL COGNITIVE PSYCH","0888-4080","1099-0720","PSYCHOLOGY, EXPERIMENTAL - SSCI","5,887","2.36","Q3","0.63","21.3"%,
"Multisensory Research","MULTISENS RES","2213-4794","2213-4808","PSYCHOLOGY, EXPERIMENTAL - SSCI","636","2.352","Q3","0.57","16.35"%,
"MIND & LANGUAGE","MIND LANG","0268-1064","1468-0017","PSYCHOLOGY, EXPERIMENTAL - SSCI","2,051","2.325","Q3","0.93","23.26"%,
"Journal of Neuropsychology","J NEUROPSYCHOL","1748-6645","1748-6653","PSYCHOLOGY, EXPERIMENTAL - SSCI","815","2.276","Q3","0.83","23.48"%,
"JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR","J EXP ANAL BEHAV","0022-5002","1938-3711","PSYCHOLOGY, EXPERIMENTAL - SSCI","3,700","2.215","Q3","0.62","3.78"%,
"PERCEPTUAL AND MOTOR SKILLS","PERCEPT MOTOR SKILL","0031-5125","1558-688X","PSYCHOLOGY, EXPERIMENTAL - SSCI","7,956","2.212","Q3","0.49","5.09"%,
"MUSIC PERCEPTION","MUSIC PERCEPT","0730-7829","N/A","PSYCHOLOGY, EXPERIMENTAL - SSCI","2,104","2.184","Q3","2.33","0"%,
"LATERALITY","LATERALITY","1357-650X","1464-0678","PSYCHOLOGY, EXPERIMENTAL - SSCI","1,234","2.167","Q3","0.47","10.74"%,
"Attention Perception & Psychophysics","ATTEN PERCEPT PSYCHO","1943-3921","1943-393X","PSYCHOLOGY, EXPERIMENTAL - SSCI","5,968","2.157","Q3","0.67","29.44"%,
"QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY","Q J EXP PSYCHOL","1747-0218","1747-0226","PSYCHOLOGY, EXPERIMENTAL - SSCI","7,629","2.138","Q3","0.67","15.92"%,
"DEVELOPMENTAL NEUROPSYCHOLOGY","DEV NEUROPSYCHOL","8756-5641","1532-6942","PSYCHOLOGY, EXPERIMENTAL - SSCI","3,747","2.113","Q3","0.58","10.71"%,
"AGING NEUROPSYCHOLOGY AND COGNITION","AGING NEUROPSYCHOL C","1382-5585","1744-4128","PSYCHOLOGY, EXPERIMENTAL - SSCI","1,956","2.102","Q3","0.56","10.38"%,
"JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION","J EXP PSYCHOL-ANIM L","2329-8456","2329-8464","PSYCHOLOGY, EXPERIMENTAL - SSCI","2,233","2.088","Q3","0.77","3.74"%,
"Psychology of Learning and Motivation","PSYCHOL LEARN MOTIV","0079-7421","N/A","PSYCHOLOGY, EXPERIMENTAL - SSCI","2,189","2.056","Q4","0.56","0"%,
"ACTA PSYCHOLOGICA","ACTA PSYCHOL","0001-6918","1873-6297","PSYCHOLOGY, EXPERIMENTAL - SSCI","7,711","1.984","Q4","0.56","42.04"%,
"LEARNING & BEHAVIOR","LEARN BEHAV","1543-4494","1543-4508","PSYCHOLOGY, EXPERIMENTAL - SSCI","1,042","1.926","Q4","0.57","21.15"%,
"Psychology of Music","PSYCHOL MUSIC","0305-7356","1741-3087","PSYCHOLOGY, EXPERIMENTAL - SSCI","2,918","1.904","Q4","1.62","10.61"%,
"COGNITIVE DEVELOPMENT","COGNITIVE DEV","0885-2014","1879-226X","PSYCHOLOGY, EXPERIMENTAL - SSCI","3,191","1.897","Q4","0.67","7.02"%,
"ADAPTIVE BEHAVIOR","ADAPT BEHAV","1059-7123","1741-2633","PSYCHOLOGY, EXPERIMENTAL - SSCI","853","1.867","Q4","0.63","16.44"%,
"LANGUAGE AND SPEECH","LANG SPEECH","0023-8309","1756-6053","PSYCHOLOGY, EXPERIMENTAL - SSCI","1,917","1.835","Q4","0.82","17.69"%,
"APPLIED PSYCHOLINGUISTICS","APPL PSYCHOLINGUIST","0142-7164","1469-1817","PSYCHOLOGY, EXPERIMENTAL - SSCI","3,506","1.828","Q4","0.82","21.23"%,
"Evolutionary Psychology","EVOL PSYCHOL-US","1474-7049","1474-7049","PSYCHOLOGY, EXPERIMENTAL - SSCI","1,535","1.738","Q4","0.43","99"%,
"PERCEPTION","PERCEPTION","0301-0066","1468-4233","PSYCHOLOGY, EXPERIMENTAL - SSCI","5,890","1.695","Q4","0.41","16.67"%,
"ECOLOGICAL PSYCHOLOGY","ECOL PSYCHOL","1040-7413","1532-6969","PSYCHOLOGY, EXPERIMENTAL - SSCI","1,181","1.688","Q4","0.63","14.29"%,
"EXPERIMENTAL PSYCHOLOGY","EXP PSYCHOL","1618-3169","2190-5142","PSYCHOLOGY, EXPERIMENTAL - SSCI","1,507","1.667","Q4","0.4","9.8"%,
"Spatial Cognition and Computation","SPAT COGN COMPUT","1387-5868","1542-7633","PSYCHOLOGY, EXPERIMENTAL - SSCI","513","1.533","Q4","0.35","10.64"%,
"Cognitive Processing","COGN PROCESS","1612-4782","1612-4790","PSYCHOLOGY, EXPERIMENTAL - SSCI","1,868","1.523","Q4","0.45","22.22"%,
"I-Perception","I-PERCEPTION","2041-6695","2041-6695","PSYCHOLOGY, EXPERIMENTAL - SSCI","1,195","1.492","Q4","0.56","96.91"%,
"LEARNING AND MOTIVATION","LEARN MOTIV","0023-9690","1095-9122","PSYCHOLOGY, EXPERIMENTAL - SSCI","1,135","1.488","Q4","0.42","4.65"%,
"Language Learning and Development","LANG LEARN DEV","1547-5441","1547-3341","PSYCHOLOGY, EXPERIMENTAL - SSCI","877","1.48","Q4","0.84","19.54"%,
"JOURNAL OF MOTOR BEHAVIOR","J MOTOR BEHAV","0022-2895","1940-1027","PSYCHOLOGY, EXPERIMENTAL - SSCI","2,829","1.358","Q4","0.4","4.37"%,
"JOURNAL OF PSYCHOLINGUISTIC RESEARCH","J PSYCHOLINGUIST RES","0090-6905","1573-6555","PSYCHOLOGY, EXPERIMENTAL - SSCI","2,004","1.315","Q4","0.56","18.43"%,
"Journal of Cognitive Psychology","J COGN PSYCHOL","2044-5911","2044-592X","PSYCHOLOGY, EXPERIMENTAL - SSCI","1,486","1.279","Q4","0.32","15.61"%,
"Advances in Cognitive Psychology","ADV COGN PSYCHOL","1895-1171","1895-1171","PSYCHOLOGY, EXPERIMENTAL - SSCI","558","1.217","Q4","0.33","98.82"%,
"CANADIAN JOURNAL OF EXPERIMENTAL PSYCHOLOGY-REVUE CANADIENNE DE PSYCHOLOGIE EXPERIMENTALE","CAN J EXP PSYCHOL","1196-1961","1878-7290","PSYCHOLOGY, EXPERIMENTAL - SSCI","1,290","0.881","Q4","0.32","1"%,
"Psicologica","PSICOLOGICA","0211-2159","1576-8597","PSYCHOLOGY, EXPERIMENTAL - SSCI","374","0.533","Q4","0.21","100"%,
"Eksperimentalnaya Psikhologiya","EKSP PSIKHOLOGIYA","2072-7593","2311-7036","PSYCHOLOGY, EXPERIMENTAL - ESCI","149","N/A","N/A","0.14","99.41"%,
"Schizophrenia Research-Cognition","SCHIZOPHR RES-COGN","2215-0013","2215-0013","PSYCHOLOGY, EXPERIMENTAL - ESCI","350","N/A","N/A","0.78","100"%,
"Timing & Time Perception","TIMING TIME PERCEPT","2213-445X","2213-4468","PSYCHOLOGY, EXPERIMENTAL - ESCI","168","N/A","N/A","0.25","10.91"%,
"Journal of Cultural Cognitive Science","J CULT COGN SCI","2520-100X","2520-1018","PSYCHOLOGY, EXPERIMENTAL - ESCI","113","N/A","N/A","0.35","22.39"%,
"Journal of Motor Learning and Development","J MOTOR LEARN DEV","2325-3193","2325-3215","PSYCHOLOGY, EXPERIMENTAL - ESCI","233","N/A","N/A","0.36","0"%,
"Psychology of Consciousness-Theory Research and Practice","PSYCHOL CONSCIOUS","2326-5523","2326-5531","PSYCHOLOGY, EXPERIMENTAL - ESCI","324","N/A","N/A","0.63","0"%,
"Psychomusicology","PSYCHOMUSICOLOGY","0275-3987","2162-1535","PSYCHOLOGY, EXPERIMENTAL - ESCI","193","N/A","N/A","1.84","0"%,

Copyright (c) 2023 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
