"Journal Data Filtered By:  Selected Categories: PSYCHOLOGY, PSYCHOANALYSIS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
"PSYCHOANALYTIC PSYCHOLOGY","PSYCHOANAL PSYCHOL","0736-9735","1939-1331","PSYCHOLOGY, PSYCHOANALYSIS - SSCI","1,071","1.591","Q1","1.57","0"%,
"BULLETIN OF THE MENNINGER CLINIC","B MENNINGER CLIN","0025-9284","1943-2828","PSYCHOLOGY, PSYCHOANALYSIS - SSCI","614","1.476","Q1","1.13","0"%,
"ZEITSCHRIFT FUR PSYCHOSOMATISCHE MEDIZIN UND PSYCHOTHERAPIE","Z PSYCHOSOM MED PSYC","1438-3608","2196-8349","PSYCHOLOGY, PSYCHOANALYSIS - SSCI","407","1","Q1","0.67","42.62"%,
"INTERNATIONAL JOURNAL OF PSYCHOANALYSIS","INT J PSYCHOANAL","0020-7578","1745-8315","PSYCHOLOGY, PSYCHOANALYSIS - SSCI","2,654","0.929","Q2","1.04","1.17"%,
"JOURNAL OF THE AMERICAN PSYCHOANALYTIC ASSOCIATION","J AM PSYCHOANAL ASS","0003-0651","1941-2460","PSYCHOLOGY, PSYCHOANALYSIS - SSCI","1,216","0.919","Q2","0.8","1.85"%,
"PSYCHOANALYTIC QUARTERLY","PSYCHOANAL QUART","0033-2828","2167-4086","PSYCHOLOGY, PSYCHOANALYSIS - SSCI","623","0.788","Q2","0.92","4.29"%,
"PSYCHOANALYTIC DIALOGUES","PSYCHOANAL DIALOGUES","1048-1885","1940-9222","PSYCHOLOGY, PSYCHOANALYSIS - SSCI","847","0.45","Q3","0.61","0.58"%,
"PSYCHE-ZEITSCHRIFT FUR PSYCHOANALYSE UND IHRE ANWENDUNGEN","PSYCHE-Z PSYCHOANAL","0033-2623","N/A","PSYCHOLOGY, PSYCHOANALYSIS - SSCI","332","0.386","Q3","0.81","0"%,
"Psychoanalysis and History","PSYCHOANAL HIST","1460-8235","1755-201X","PSYCHOLOGY, PSYCHOANALYSIS - SSCI","74","0.353","Q3","0.64","2.13"%,
"FORUM DER PSYCHOANALYSE","FORUM PSYCHOANAL","0178-7667","1437-0751","PSYCHOLOGY, PSYCHOANALYSIS - SSCI","96","0.34","Q4","0.56","6.1"%,
"Psychoanalytic Study of the Child","PSYCHOANAL STUD CHIL","0079-7308","N/A","PSYCHOLOGY, PSYCHOANALYSIS - SSCI","380","0.333","Q4","0.47","0"%,
"CONTEMPORARY PSYCHOANALYSIS","CONTEMP PSYCHOANAL","0010-7530","2330-9091","PSYCHOLOGY, PSYCHOANALYSIS - SSCI","482","0.256","Q4","0.36","1.61"%,
"PSYCHOANALYTIC INQUIRY","PSYCHOANAL INQ","0735-1690","1940-9133","PSYCHOLOGY, PSYCHOANALYSIS - SSCI","541","0.19","Q4","0.51","0.61"%,
"International Journal of Applied Psychoanalytic Studies","INT J APPL PSYCH STU","1742-3341","1556-9187","PSYCHOLOGY, PSYCHOANALYSIS - ESCI","140","N/A","N/A","0.7","7.41"%,
"Desde el Jardin de Freud-Revista de Psicoanalisis","DESDE JARD FREUD","1657-3986","2256-5477","PSYCHOLOGY, PSYCHOANALYSIS - ESCI","17","N/A","N/A","0.1","100"%,
"Zeitschrift fuer Individualpsychologie","Z INDIVID","0342-393X","2196-8330","PSYCHOLOGY, PSYCHOANALYSIS - ESCI","10","N/A","N/A","0.19","0"%,
"International Forum of Psychoanalysis","INT FORUM PSYCHOANAL","0803-706X","1651-2324","PSYCHOLOGY, PSYCHOANALYSIS - ESCI","129","N/A","N/A","0.26","0"%,
"JOURNAL OF ANALYTICAL PSYCHOLOGY","J ANAL PSYCHOL","0021-8774","1468-5922","PSYCHOLOGY, PSYCHOANALYSIS - ESCI","384","N/A","N/A","0.66","4.11"%,
"Psychoanalysis Self and Context","PSYCHOANAL SELF CONT","2472-0038","2472-0046","PSYCHOLOGY, PSYCHOANALYSIS - ESCI","70","N/A","N/A","0.76","1.77"%,
"Filigrane-Revue de Psychanalyse","FILIGRANE","1192-1412","1911-4656","PSYCHOLOGY, PSYCHOANALYSIS - ESCI","10","N/A","N/A","0.1","0"%,
"Psychoanalytic Psychotherapy","PSYCHOANAL PSYCHOTHE","0266-8734","1474-9734","PSYCHOLOGY, PSYCHOANALYSIS - ESCI","235","N/A","N/A","1.09","8.62"%,
"Language and Psychoanalysis","LANG PSYCHOANAL","2049-324X","2049-324X","PSYCHOLOGY, PSYCHOANALYSIS - ESCI","44","N/A","N/A","0.56","95.24"%,
"Psychological Perspectives-A Quarterly Journal of Jungian Thought","PSYCHOL PERSPECT","0033-2925","1556-3030","PSYCHOLOGY, PSYCHOANALYSIS - ESCI","86","N/A","N/A","0.11","0"%,
"Psychodynamic Practice","PSYCHODYN PRACT","1475-3634","1475-3626","PSYCHOLOGY, PSYCHOANALYSIS - ESCI","149","N/A","N/A","0.38","1.32"%,

Copyright (c) 2023 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
